% Generated by PAnDConv in Wed Jul 17 20:30:25 2013
% Author: Paulo Joia Filho
% instances: 240
% dimension: 2
% classes:   40

@RELATION DY

@ATTRIBUTE	id	STRING
@ATTRIBUTE	x	REAL
@ATTRIBUTE	y	REAL
@ATTRIBUTE	class {0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0}

@DATA
01-1m.jpg,3539.6,225702,0.0
01-2m.jpg,-320.683,228358,0.0
01-3m.jpg,9154.57,246609,0.0
01-4m.jpg,2363.86,244357,0.0
01-5m.jpg,46932.9,169860,0.0
01-6m.jpg,11152.8,227852,0.0
02-1m.jpg,6803.7,58209.3,1.0
02-2m.jpg,7241.34,56706.6,1.0
02-3m.jpg,13106.6,60331.5,1.0
02-4m.jpg,17917.3,60485.9,1.0
02-5m.jpg,41565.1,156709,1.0
02-6m.jpg,4223.43,63597.9,1.0
03-1m.jpg,-35071.4,91734.3,2.0
03-2m.jpg,-41506.8,95211.6,2.0
03-3m.jpg,-38678.4,95822.8,2.0
03-4m.jpg,-38744.8,97305.1,2.0
03-5m.jpg,40963.1,174758,2.0
03-6m.jpg,40715.9,172994,2.0
04-1m.jpg,45914.5,55689.5,3.0
04-2m.jpg,39705.8,56351.8,3.0
04-3m.jpg,47849.2,59561.9,3.0
04-4m.jpg,38627.6,54905.4,3.0
04-5m.jpg,53589.1,162954,3.0
04-6m.jpg,-25125.7,102546,3.0
05-1m.jpg,2630.12,75196.4,4.0
05-2m.jpg,-2553.29,79894,4.0
05-3m.jpg,16098.9,69838.9,4.0
05-4m.jpg,7919.11,75177.2,4.0
05-5m.jpg,68452.7,145262,4.0
05-6m.jpg,45279.8,70396,4.0
06-1m.jpg,-15057.3,87757.5,5.0
06-2m.jpg,-20269.3,93255.3,5.0
06-3m.jpg,-30161.8,133235,5.0
06-4m.jpg,-22195.8,95882,5.0
06-5m.jpg,40926.9,179997,5.0
06-6m.jpg,-30783.4,98988.1,5.0
07-1m.jpg,28204.5,60819.1,6.0
07-2m.jpg,23743.5,62347.6,6.0
07-3m.jpg,35375.9,61798,6.0
07-4m.jpg,23817.9,66263.2,6.0
07-5m.jpg,39768.1,153721,6.0
07-6m.jpg,41527.8,62892.4,6.0
08-1f.jpg,22283.9,75776.9,7.0
08-2f.jpg,18063.7,79545.9,7.0
08-3f.jpg,5582.97,88413.9,7.0
08-4f.jpg,6892.67,85691,7.0
08-5f.jpg,47547,162667,7.0
08-6f.jpg,58825.1,157580,7.0
09-1m.jpg,100734,75007.8,8.0
09-2m.jpg,101918,72557.1,8.0
09-3m.jpg,88886.8,71947.5,8.0
09-4m.jpg,97591.7,70453.4,8.0
09-5m.jpg,36473.7,170352,8.0
09-6m.jpg,35485.2,171043,8.0
10-1m.jpg,55500.2,91145.7,9.0
10-2m.jpg,46838.3,98488.4,9.0
10-3m.jpg,49356,99205.4,9.0
10-4m.jpg,53399.3,95720.2,9.0
10-5m.jpg,47299.2,174960,9.0
10-6m.jpg,76996.3,89641.4,9.0
11-1m.jpg,144.577,132274,10.0
11-2m.jpg,9480.4,129853,10.0
11-3m.jpg,2912.69,126891,10.0
11-4m.jpg,6934.04,126176,10.0
11-5m.jpg,57310.9,192214,10.0
11-6m.jpg,10948.6,111927,10.0
12-1f.jpg,114722,104318,11.0
12-2f.jpg,113526,101376,11.0
12-3f.jpg,105848,102508,11.0
