% Generated by PAnDConv in Mon Oct 31 23:37:03 2011
% Author: Paulo Joia Filho
% instances: 240
% dimension: 28
% classes:   40

@RELATION DY

@ATTRIBUTE	id	STRING
@ATTRIBUTE	attr1	REAL
@ATTRIBUTE	attr2	REAL
@ATTRIBUTE	attr3	REAL
@ATTRIBUTE	attr4	REAL
@ATTRIBUTE	attr5	REAL
@ATTRIBUTE	attr6	REAL
@ATTRIBUTE	attr7	REAL
@ATTRIBUTE	attr8	REAL
@ATTRIBUTE	attr9	REAL
@ATTRIBUTE	attr10	REAL
@ATTRIBUTE	attr11	REAL
@ATTRIBUTE	attr12	REAL
@ATTRIBUTE	attr13	REAL
@ATTRIBUTE	attr14	REAL
@ATTRIBUTE	attr15	REAL
@ATTRIBUTE	attr16	REAL
@ATTRIBUTE	attr17	REAL
@ATTRIBUTE	attr18	REAL
@ATTRIBUTE	attr19	REAL
@ATTRIBUTE	attr20	REAL
@ATTRIBUTE	attr21	REAL
@ATTRIBUTE	attr22	REAL
@ATTRIBUTE	attr23	REAL
@ATTRIBUTE	attr24	REAL
@ATTRIBUTE	attr25	REAL
@ATTRIBUTE	attr26	REAL
@ATTRIBUTE	attr27	REAL
@ATTRIBUTE	attr28	REAL
@ATTRIBUTE	class {0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0}

@DATA
01-1m.jpg,26350.2,-1729.67,-34350,-42164.3,-24684.9,-4455.78,12061.4,17462.8,19132.5,17245.9,17245.9,19132.5,17462.8,12061.4,-4455.78,-24684.9,-42164.3,-34350,-1729.67,26350.2,72531.7,16343.1,10325.8,7002.46,1744.8,510.877,51.3489,35.2334,0.0
01-2m.jpg,26274.6,-3393.47,-35176.6,-43529,-25139.7,-2718.34,16147.3,23085.5,22772.4,16377.9,16377.9,22772.4,23085.5,16147.3,-2718.34,-25139.7,-43529,-35176.6,-3393.47,26274.6,74611.3,14964.6,11199.7,7342.99,1703.13,489.211,51.1409,34.1106,0.0
01-3m.jpg,25531.5,3562.61,-33439.5,-43126.2,-33335.3,-9406.18,12813.8,25391.7,27024.3,20043.5,20043.5,27024.3,25391.7,12813.8,-9406.18,-33335.3,-43126.2,-33439.5,3562.61,25531.5,67201.6,15915.5,9250.07,7074.81,1705.56,448.742,51.8829,36.6577,0.0
01-4m.jpg,26029.9,1250.65,-34779.7,-45585.4,-30594.7,-7414.16,17375.3,28216.7,26723.8,18166,18166,26723.8,28216.7,17375.3,-7414.16,-30594.7,-45585.4,-34779.7,1250.65,26029.9,67541,16517,11451.6,7687.79,1607.12,387.675,51.3171,35.2717,0.0
01-5m.jpg,-8286.37,-18751,-4620.8,-18407.8,-2829.22,5232.27,6634.65,966.427,3408.77,3889.91,3889.91,3408.77,966.427,6634.65,5232.27,-2829.22,-18407.8,-4620.8,-18751,-8286.37,75546.6,19065.8,11941.3,7921.56,2168.56,760.962,79.7088,43.4009,0.0
01-6m.jpg,25487.1,1317.26,-33022.2,-39499.4,-27031.7,-7392.29,7320.32,14684.9,18780.5,19890.1,19890.1,18780.5,14684.9,7320.32,-7392.29,-27031.7,-39499.4,-33022.2,1317.26,25487.1,71087.6,18524.6,10773.8,7732.83,1747.29,504.825,52.0825,36.7494,0.0
02-1m.jpg,13815,-35394.6,-50658,-3872.16,33443.3,30653.3,435.809,-24446,-24757.4,29.1478,29.1478,-24757.4,-24446,435.809,30653.3,33443.3,-3872.16,-50658,-35394.6,13815,63910.3,13613.6,9369.06,6189.07,1196.53,261.541,59.7002,29.4492,1.0
02-2m.jpg,14177.8,-35503.3,-50441.6,-4901.85,34290.5,31830.4,-1268.58,-25545.8,-23938.6,1680.74,1680.74,-23938.6,-25545.8,-1268.58,31830.4,34290.5,-4901.85,-50441.6,-35503.3,14177.8,63645.5,13618.4,9486.07,6104.33,1248.22,270.092,59.7805,30.1077,1.0
02-3m.jpg,12143.8,-33751.4,-50469.4,-1750.1,30972.2,30782.9,-2449.42,-24432.5,-20520.1,3707.97,3707.97,-20520.1,-24432.5,-2449.42,30782.9,30972.2,-1750.1,-50469.4,-33751.4,12143.8,70081.3,15180.5,8434.26,6022.92,1225.89,275.398,61.7407,32.1993,1.0
02-4m.jpg,12967.1,-35843.3,-48147.9,-2935.77,34873.6,26437,-3156.18,-25204.8,-19133.9,5176.24,5176.24,-19133.9,-25204.8,-3156.18,26437,34873.6,-2935.77,-48147.9,-35843.3,12967.1,61839,13694.1,7837.21,5438.19,1186.92,245.955,60.432,30.1107,1.0
02-5m.jpg,-9844.28,-18854.8,-13757.3,-14971.6,8567.47,5682.05,7969.96,7980.58,3273.65,-8389.67,-8389.67,3273.65,7980.58,7969.96,5682.05,8567.47,-14971.6,-13757.3,-18854.8,-9844.28,70384,17090.9,9428.17,6730.5,1496.87,414.596,78.7346,40.2535,1.0
